id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit
1C4RJKBR8T8595987	2026 Jeep Grand Cherokee L Limited	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-l-limited-minneapolis-mn/2026-jeep-grand-cherokee-l-limited-1c4rjkbr8t8595987/	44974 USD	2026 Silver Zynith Jeep Grand Cherokee L Limited 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/429189/1c4rjkbr8t8595987-2026-jeep-grand-cherokee-l-limited-silver-zynith-1-111767.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJKBR8T8595987	https://furymotors.com/for-sale/jeep-grand-cherokee-l-limited-minneapolis-mn/2026-jeep-grand-cherokee-l-limited-1c4rjkbr8t8595987/123?store={store_code}	SILVER	11 miles	Grand Cherokee L	1C4RJKBR8T8595987	2026	44974 USD	26817	44974 USD	MI
1C4RJKBR0V8167964	2027 Jeep Grand Cherokee L Limited	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-l-limited-minneapolis-mn/2027-jeep-grand-cherokee-l-limited-1c4rjkbr0v8167964/	56580 USD	2027 Fathom Blue Pearlcoat Jeep Grand Cherokee L Limited 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/581299/1c4rjkbr0v8167964-2027-jeep-grand-cherokee-l-limited-fathom-blue-pearlcoat-1-113581.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJKBR0V8167964	https://furymotors.com/for-sale/jeep-grand-cherokee-l-limited-minneapolis-mn/2027-jeep-grand-cherokee-l-limited-1c4rjkbr0v8167964/123?store={store_code}	BLUE	10 miles	Grand Cherokee L	1C4RJKBR0V8167964	2027	56580 USD	26817	56580 USD	MI
1C4RJKBR6V8150568	2027 Jeep Grand Cherokee L Limited Reserve	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-l-limited-reserve-minneapolis-mn/2027-jeep-grand-cherokee-l-limited-reserve-1c4rjkbr6v8150568/	55570 USD	2027 Steel Blue Jeep Grand Cherokee L Limited Reserve 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/590561/1c4rjkbr6v8150568-2027-jeep-grand-cherokee-l-limited-reserve-steel-blue-1-113792.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJKBR6V8150568	https://furymotors.com/for-sale/jeep-grand-cherokee-l-limited-reserve-minneapolis-mn/2027-jeep-grand-cherokee-l-limited-reserve-1c4rjkbr6v8150568/123?store={store_code}	GRAY	10 miles	Grand Cherokee L	1C4RJKBR6V8150568	2027	55570 USD	26817	55570 USD	MI
1C4RJHBR1TC299631	2026 Jeep Grand Cherokee Limited	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr1tc299631/	42900 USD	2026 Baltic Gray Metallic Clearcoat Jeep Grand Cherokee Limited 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/509536/1c4rjhbr1tc299631-2026-jeep-grand-cherokee-limited-baltic-gray-metallic-clearcoat-1-112719.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJHBR1TC299631	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr1tc299631/123?store={store_code}	GRAY	10 miles	Grand Cherokee	1C4RJHBR1TC299631	2026	42900 USD	26817	42900 USD	MI
1C4RJHBR1TC304259	2026 Jeep Grand Cherokee Limited	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr1tc304259/	43089 USD	2026 Diamond Black Crystal Pearlcoat Jeep Grand Cherokee Limited 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/472705/1c4rjhbr1tc304259-2026-jeep-grand-cherokee-limited-diamond-black-crystal-pearlcoat-1-112119.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJHBR1TC304259	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr1tc304259/123?store={store_code}	BLACK	15 miles	Grand Cherokee	1C4RJHBR1TC304259	2026	43089 USD	26817	43089 USD	MI
1C4RJHBR1TC304262	2026 Jeep Grand Cherokee Limited	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr1tc304262/	46570 USD	2026 Diamond Black Crystal Pearlcoat Jeep Grand Cherokee Limited 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/480170/1c4rjhbr1tc304262-2026-jeep-grand-cherokee-limited-diamond-black-crystal-pearlcoat-1-113098.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJHBR1TC304262	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr1tc304262/123?store={store_code}	BLACK	12 miles	Grand Cherokee	1C4RJHBR1TC304262	2026	46570 USD	26817	46570 USD	MI
1C4RJHBR2TC200489	2026 Jeep Grand Cherokee Limited	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr2tc200489/	43826 USD	2026 Bright White Clearcoat Jeep Grand Cherokee Limited 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/229820/1c4rjhbr2tc200489-2026-jeep-grand-cherokee-limited-bright-white-clearcoat-1-109034.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJHBR2TC200489	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr2tc200489/123?store={store_code}	WHITE	59 miles	Grand Cherokee	1C4RJHBR2TC200489	2026	43826 USD	26817	43826 USD	MI
1C4RJHBR2TC301791	2026 Jeep Grand Cherokee Limited	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr2tc301791/	42322 USD	2026 Baltic Gray Metallic Clearcoat Jeep Grand Cherokee Limited 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/456431/1c4rjhbr2tc301791-2026-jeep-grand-cherokee-limited-baltic-gray-metallic-clearcoat-1-112431.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJHBR2TC301791	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr2tc301791/123?store={store_code}	GRAY	10 miles	Grand Cherokee	1C4RJHBR2TC301791	2026	42322 USD	26817	42322 USD	MI
1C4RJHBR8TC299478	2026 Jeep Grand Cherokee Limited	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr8tc299478/	42495 USD	2026 Diamond Black Crystal Pearlcoat Jeep Grand Cherokee Limited 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/447712/1c4rjhbr8tc299478-2026-jeep-grand-cherokee-limited-diamond-black-crystal-pearlcoat-1-111767.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJHBR8TC299478	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr8tc299478/123?store={store_code}	BLACK	11 miles	Grand Cherokee	1C4RJHBR8TC299478	2026	42495 USD	26817	42495 USD	MI
1C4RJHBR8TC304260	2026 Jeep Grand Cherokee Limited	Jeep	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr8tc304260/	43089 USD	2026 Silver Zynith Jeep Grand Cherokee Limited 2.0L Hurricane 4 Turbo with ESS For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/480171/1c4rjhbr8tc304260-2026-jeep-grand-cherokee-limited-silver-zynith-1-112791.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJHBR8TC304260	https://furymotors.com/for-sale/jeep-grand-cherokee-limited-minneapolis-mn/2026-jeep-grand-cherokee-limited-1c4rjhbr8tc304260/123?store={store_code}	SILVER	10 miles	Grand Cherokee	1C4RJHBR8TC304260	2026	43089 USD	26817	43089 USD	MI
