id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit
1FTER4HH3TLE61015	2026 Ford Ranger XLT	Ford	https://www.andersonandkochford.com/vehicle/1FTER4HH3TLE61015/2026-Ford-Ranger-North_Branch-MN/	38403 USD	2026 Shadow Black Ford Ranger Xlt 4WD EcoBoost 2.3L I4 GTDi DOHC Turbocharged VCT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/300265028	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTER4HH3TLE61015	https://www.andersonandkochford.com/vehicle/1FTER4HH3TLE61015/2026-Ford-Ranger-North_Branch-MN/123?store={store_code}	BLACK	0 miles	Ranger	1FTER4HH3TLE61015	2026	38403 USD	04229513139877848249	38403 USD	MI
1FTER4HH7TLE58957	2026 Ford Ranger XLT	Ford	https://www.andersonandkochford.com/vehicle/1FTER4HH7TLE58957/2026-Ford-Ranger-North_Branch-MN/	40956 USD	2026 Gray Ford Ranger Xlt 4WD EcoBoost 2.3L I4 GTDi DOHC Turbocharged VCT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/299689578	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTER4HH7TLE58957	https://www.andersonandkochford.com/vehicle/1FTER4HH7TLE58957/2026-Ford-Ranger-North_Branch-MN/123?store={store_code}	GRAY	0 miles	Ranger	1FTER4HH7TLE58957	2026	40956 USD	04229513139877848249	40956 USD	MI
1FTER4KH4TLE63249	2026 Ford Ranger LARIAT	Ford	https://www.andersonandkochford.com/vehicle/1FTER4KH4TLE63249/2026-Ford-Ranger-North_Branch-MN/	46445 USD	2026 Gray Metallic Ford Ranger Lariat 4WD EcoBoost 2.3L I4 GTDi DOHC Turbocharged VCT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/302975264	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTER4KH4TLE63249	https://www.andersonandkochford.com/vehicle/1FTER4KH4TLE63249/2026-Ford-Ranger-North_Branch-MN/123?store={store_code}	GRAY	0 miles	Ranger	1FTER4KH4TLE63249	2026	46445 USD	04229513139877848249	46445 USD	MI
1FTER4PHXTLE02061	2026 Ford Ranger XL	Ford	https://www.andersonandkochford.com/vehicle/1FTER4PHXTLE02061/Used-2026-Ford-Ranger-North_Branch-MN/	37846 USD	2026 White Ford Ranger Xl 4WD EcoBoost 2.3L I4 GTDi DOHC Turbocharged VCT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/314818582	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTER4PHXTLE02061	https://www.andersonandkochford.com/vehicle/1FTER4PHXTLE02061/Used-2026-Ford-Ranger-North_Branch-MN/123?store={store_code}	WHITE	45 miles	Ranger	1FTER4PHXTLE02061	2026	37846 USD	04229513139877848249	37846 USD	MI
1FTEW1E55LKF39687	2020 Ford F-150 XLT	Ford	https://www.andersonandkochford.com/vehicle/1FTEW1E55LKF39687/Used-2020-Ford-F--150-North_Branch-MN/	32345 USD	2020 Silver Metallic Ford F-150 Xlt 4WD 5.0L V8 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/320622870	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW1E55LKF39687	https://www.andersonandkochford.com/vehicle/1FTEW1E55LKF39687/Used-2020-Ford-F--150-North_Branch-MN/123?store={store_code}	SILVER	59290 miles	F-150	1FTEW1E55LKF39687	2020	32345 USD	04229513139877848249	32345 USD	MI
1FTEW1EF1GFB01837	2016 Ford F-150 XLT	Ford	https://www.andersonandkochford.com/vehicle/1FTEW1EF1GFB01837/Used-2016-Ford-F--150-North_Branch-MN/	22345 USD	2016 Shadow Black Ford F-150 Xlt 4WD 5.0L V8 FFV For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/320798578	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW1EF1GFB01837	https://www.andersonandkochford.com/vehicle/1FTEW1EF1GFB01837/Used-2016-Ford-F--150-North_Branch-MN/123?store={store_code}	BLACK	118784 miles	F-150	1FTEW1EF1GFB01837	2016	22345 USD	04229513139877848249	22345 USD	MI
1FTEW1EG7FKE16172	2015 Ford F-150 LARIAT	Ford	https://www.andersonandkochford.com/vehicle/1FTEW1EG7FKE16172/Used-2015-Ford-F--150-North_Branch-MN/	18345 USD	2015 Tuxedo Black Metallic Ford F-150 Lariat 4WD 3.5L V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/320813050	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW1EG7FKE16172	https://www.andersonandkochford.com/vehicle/1FTEW1EG7FKE16172/Used-2015-Ford-F--150-North_Branch-MN/123?store={store_code}	BLACK	147451 miles	F-150	1FTEW1EG7FKE16172	2015	18345 USD	04229513139877848249	18345 USD	MI
1FTEW1EG8FFC53704	2015 Ford F-150 King Ranch	Ford	https://www.andersonandkochford.com/vehicle/1FTEW1EG8FFC53704/Used-2015-Ford-F--150-North_Branch-MN/	22345 USD	2015 Blue Jeans Metallic Ford F-150 King Ranch 4WD 3.5L V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/264649370	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW1EG8FFC53704	https://www.andersonandkochford.com/vehicle/1FTEW1EG8FFC53704/Used-2015-Ford-F--150-North_Branch-MN/123?store={store_code}	BLUE	125913 miles	F-150	1FTEW1EG8FFC53704	2015	22345 USD	04229513139877848249	22345 USD	MI
1FTEW1EP5NKD72283	2022 Ford F-150 XLT	Ford	https://www.andersonandkochford.com/vehicle/1FTEW1EP5NKD72283/Used-2022-Ford-F--150-North_Branch-MN/	42345 USD	2022 Gray Metallic Ford F-150 Xlt 4WD 2.7L V6 EcoBoost For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/321708757	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW1EP5NKD72283	https://www.andersonandkochford.com/vehicle/1FTEW1EP5NKD72283/Used-2022-Ford-F--150-North_Branch-MN/123?store={store_code}	GRAY	11798 miles	F-150	1FTEW1EP5NKD72283	2022	42345 USD	04229513139877848249	42345 USD	MI
1FTEW1EP9NFB90661	2022 Ford F-150 XL	Ford	https://www.andersonandkochford.com/vehicle/1FTEW1EP9NFB90661/Used-2022-Ford-F--150-North_Branch-MN/	29845 USD	2022 Black Ford F-150 Xl 4WD 2.7L V6 EcoBoost For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/322035520	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW1EP9NFB90661	https://www.andersonandkochford.com/vehicle/1FTEW1EP9NFB90661/Used-2022-Ford-F--150-North_Branch-MN/123?store={store_code}	BLACK	65060 miles	F-150	1FTEW1EP9NFB90661	2022	29845 USD	04229513139877848249	29845 USD	MI
