id	item_group_id	title	description	link	image_link	availability	price	sale_price	brand	condition	identifier_exists	google_product_category	product_type
78074		Cheese Popcorn	Large kernels of fresh popcorn, totally encompassed in a rich delicious deep golden cheddar cheese NUTRITION INFORMATION: Ingredients: Popcorn, Cheddar Cheese {Vegetable Oils (Soybean Oil, Palm Oil), Dehydrated Cheese Blend [Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt Enzymes), Cream, Salt, Sodium Phosphate, Yellow 5, Lactic Acid, Yellow 6]. Contains 2% or less of Soy Lecithin. Contains: Milk, Soy.}, Peanut Oil, Salt.	https://candylandstore.com/shop/cheese-popcorn-2/	https://candylandstore.com/wp-content/uploads/2016/09/cheese-Corn-1.jpg	in_stock	13.25 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Bagged Popcorn
3245		Chicago Mix®	Chicago Mix® is a federally registered trademark belonging to Candyland, Inc.	https://candylandstore.com/shop/chicago-mix%ef%b8%8f/	https://candylandstore.com/wp-content/uploads/2016/09/chicago-Mix®-1.jpg	in_stock	11.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Bagged Popcorn > Chicago Mix
145575		Chicago Mix® T-shirt – NEW	Available in a variety of sizes ranging from Youth Small to Adult 2XL	https://candylandstore.com/shop/new-chicago-mix-t-shirt/	https://candylandstore.com/wp-content/uploads/2024/01/5.jpg	in_stock	23.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Candyland Apparel > Mother’s Day
142310		Chickadee with Mitten- Nut Tin	NUT TINS PROUDLY MADE IN USA	https://candylandstore.com/shop/festive-cactus-nut-tin-new/	https://candylandstore.com/wp-content/uploads/2023/09/chick-with-mit.jpg	in_stock	21.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Christmas > Christmas Sweets & Treats > Corporate Events
154887		Chili Mango Salt Water Taffy	This unusual flavor gives you a combination of the sweet taste of mango with a spicy kick that will keep you coming back for more… Ingredients : CORN SYRUP, SUGAR, COCONUT OIL, SEA SALT, CHILI POWDER, EGG WHITES, MALIC ACID, CAYENNE PEPPER, EVAPORATED MILK, SUNFLOWER LECITHIN, TITANIUM DIOXIDE|NATURAL FLAVOR, ARTIFICIAL COLORS (INCLUDING FD&C BLUE 1, YELLOW 5, YELLOW 6)	https://candylandstore.com/shop/chili-mango-salt-water-taffy/	https://candylandstore.com/wp-content/uploads/2025/08/5-scaled.jpg	in_stock	6.50 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Candy > Halloween
979		Chippo’s	Milk chocolate covered potato chips! Sweet and salty at the same time. A delightful lightly salted crunch with a a smooth milk chocolate coat and delicious finish.	https://candylandstore.com/shop/chippos/	https://candylandstore.com/wp-content/uploads/2016/06/CandyLand_20030610_0118-1-e1472488090449.jpg	in_stock	25.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Chocolate Covered > Fine Chocolates
84799		Chocolate & Mint Cookie Bites	Chocolate & Mint Cookie Bites	https://candylandstore.com/shop/chocolate-mint-cookie-bites/	https://candylandstore.com/wp-content/uploads/2021/04/Untitled-design-22.png	in_stock	15.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Bulk Chocolate > Christmas
146704		Chocolate Covered Almonds (Milk or Dark)	Dark Chocolate Almonds : The bitter crunch of a dark chocolate-coated almond is a healthy and delicious snack. It’s perfect sustenance to take on an afternoon in the city, while wandering a park or down a high street. Milk Chocolate Almonds : Milk Chocolate Covered Almonds are a classic treat. A thick layer of smooth milk chocolate melts in your mouth and leaves you with a sweet, crunchy almond.	https://candylandstore.com/shop/chocolate-covered-almonds-milk-or-dark/	https://candylandstore.com/wp-content/uploads/2016/08/DSC_0986.jpg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Bulk Chocolate > Christmas
974		Chocolate Covered Caramels (Milk & Dark)	Milk Chocolate Caramels : Nothing is more luxurious than sweet and sticky caramel coated in creamy milk chocolate. These sweet squares come with a thin dark chocolate drizzle over the top, and are delicious reward at the end of any day. Dark Chocolate Caramels : That first bite into a Dark Chocolate Caramel breaks the chocolate coating and lets you sink your teeth into rich vanilla caramel. Soak it all in and enjoy the harmony between the two flavors and the sticky sweetness of it all.	https://candylandstore.com/shop/chocolate-covered-caramel/	https://candylandstore.com/wp-content/uploads/2016/06/CandyLand_20030610_0131-1.jpg	in_stock	25.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Chocolate Covered > Chocolate with Caramel > Dark Chocolate
146740		Chocolate Covered Expresso Beans (Milk or Dark)	Dark Chocolate Espresso Beans : Enjoy the bitter crunch of an espresso bean enveloped in a rich layer of dark chocolate. The satisfying bite of each piece will linger in your mouth and leave a warm, luxurious feeling behind. Milk Chocolate Espresso Beans : The crunch and bitterness of an espresso bean is countered by a thick layer of smooth, rich milk chocolate in these little confections. Perfectly balanced and perfectly suited to an extra special espresso-flavored treat for the coffee lover in your life!	https://candylandstore.com/shop/chocolate-covered-expresso-beans-milk-or-dark/	https://candylandstore.com/wp-content/uploads/2016/08/DSC_0984.jpg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Bulk Chocolate > Christmas
1313		Chocolate Covered Graham Crackers	These bite sized bounties and a campfire favorite. Experience the craved texture of a thin layer of chocolate melt in your mouth and slowly uncover a sweet graham cracker crunch.	https://candylandstore.com/shop/chocolate-covered-graham-crackers/	https://candylandstore.com/wp-content/uploads/2016/08/Candyland-Web-83.jpg	in_stock	15.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Additional Sweets & Treats > Candy > Fine Chocolates
146638		Chocolate Covered Gummi Bears	Everyone loves gummi bears, and everyone loves chocolate. When you put them together, it only gets better! The sweet chocolate balances with the tartness of multi-flavored gummies, and each bite lets you sink your teeth into a unique flavor combination. Chocolate-covered orange, strawberry-banana, cherry, strawberry, marshmallow and apricot. Ingredients: Gummi Bears (corn syrup, sugar, water, gelatin, citric acid, natural and artificial flavor, vegetable oil [coconut, canola], and carnauba leaf wax [to prevent sticking], FD&C red 40, yellow 6, yellow 5, titanium dioxide [color]), Milk Chocolate (sugar, milk, cocoa butter, chocolate liquor, soy lecithin, natural flavor), Powdered Sugar (sugar, cornstarch). Contains: Milk and Soy.	https://candylandstore.com/shop/chocolate-covered-gummi-bears-2/	https://candylandstore.com/wp-content/uploads/2016/08/chocolate-gummies.jpg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Bulk Chocolate > Christmas
