id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit	certified_pre_owned	custom_label_0
WVWSE7CD9TW278379	2026 Volkswagen Golf GTI SE	Volkswagen	https://www.mankatomotors.com/new/Volkswagen/2026-Volkswagen-Golf-GTI-6a960b2aac185d005aaedd2074152db8.htm	38581 USD	2026 Moonstone Volkswagen Golf GTI SE 2L TSI DOHC For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/0780/bd55d636946dbc752ec09fe1d72aaac7x.jpg	in stock	NEW	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	WVWSE7CD9TW278379	https://www.mankatomotors.com/new/Volkswagen/2026-Volkswagen-Golf-GTI-6a960b2aac185d005aaedd2074152db8.htm?store={store_code}	NA	0 miles	Golf GTI	WVWSE7CD9TW278379	2026	38581 USD	MM100	38581 USD	MI	no	New
WVWVE7CD4TW267335	2026 Volkswagen Golf GTI Autobahn	Volkswagen	https://www.mankatomotors.com/new/Volkswagen/2026-Volkswagen-Golf-GTI-fedefbe7ac180605cb70690737975393.htm	41872 USD	2026 Moonstone Volkswagen Golf GTI Autobahn 2L TSI DOHC For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/0188/8b7d931b95185db3476470fa4c876d1fx.jpg	in stock	NEW	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	WVWVE7CD4TW267335	https://www.mankatomotors.com/new/Volkswagen/2026-Volkswagen-Golf-GTI-fedefbe7ac180605cb70690737975393.htm?store={store_code}	NA	0 miles	Golf GTI	WVWVE7CD4TW267335	2026	41872 USD	MM100	41872 USD	MI	no	New
3VVGR7RM9TM166488	2026 Volkswagen Tiguan 2.0T SE R-Line Black	Volkswagen	https://www.mankatomotors.com/new/Volkswagen/2026-Volkswagen-Tiguan-246a5349ac1829bdac25aaf1c9823fdb.htm	38356 USD	2026 Opal Volkswagen Tiguan 2.0T SE R-Line Black 2L TSI DOHC For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/0318/6c6124268af1c3a6234456089931e3adx.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3VVGR7RM9TM166488	https://www.mankatomotors.com/new/Volkswagen/2026-Volkswagen-Tiguan-246a5349ac1829bdac25aaf1c9823fdb.htm?store={store_code}	NA	0 miles	Tiguan	3VVGR7RM9TM166488	2026	38356 USD	MM100	38356 USD	MI	no	New
1V2F53DH0VC501505	2027 Volkswagen Atlas SEL Premium R-Line	Volkswagen	https://www.mankatomotors.com/new/Volkswagen/2027-Volkswagen-Atlas-66ea2d47ac185b7043adb35b5d684775.htm	60440 USD	2027 Pearl Volkswagen Atlas SEL Premium R-Line 2L 4-Cylinder DOHC 16V For sale at Mankato Motors in Mankato Minnesota.	https://images.dealer.com/unavailable_stockphoto.png	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1V2F53DH0VC501505	https://www.mankatomotors.com/new/Volkswagen/2027-Volkswagen-Atlas-66ea2d47ac185b7043adb35b5d684775.htm?store={store_code}	NA	0 miles	Atlas	1V2F53DH0VC501505	2027	60440 USD	MM100	60440 USD	MI	no	New
1V2J53DH6VC500627	2027 Volkswagen Atlas SE w/Technology	Volkswagen	https://www.mankatomotors.com/new/Volkswagen/2027-Volkswagen-Atlas-66ea3235ac1813b262e6ac1048cabea1.htm	51450 USD	2027 Sandstone Volkswagen Atlas SE w/Technology 2L 4-Cylinder DOHC 16V For sale at Mankato Motors in Mankato Minnesota.	https://images.dealer.com/unavailable_stockphoto.png	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1V2J53DH6VC500627	https://www.mankatomotors.com/new/Volkswagen/2027-Volkswagen-Atlas-66ea3235ac1813b262e6ac1048cabea1.htm?store={store_code}	NA	0 miles	Atlas	1V2J53DH6VC500627	2027	51450 USD	MM100	51450 USD	MI	no	New
1GNSKAKC9JR301497	2018 Chevrolet Tahoe LS	Chevrolet	https://www.mankatomotors.com/used/Chevrolet/2018-Chevrolet-Tahoe-af02d132ac1851979897d886f342f1e1.htm	17000 USD	2018 Tungsten Metallic Chevrolet Tahoe LS 5.3L V-8 For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatochevrolet/1013/ae553315724101f1cb2d60e37d255b09x.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1GNSKAKC9JR301497	https://www.mankatomotors.com/used/Chevrolet/2018-Chevrolet-Tahoe-af02d132ac1851979897d886f342f1e1.htm?store={store_code}	NA	151823 miles	Tahoe	1GNSKAKC9JR301497	2018	17000 USD	MM100	17000 USD	MI	no	Used
1GNSKBKC3KR366997	2019 Chevrolet Tahoe LT	Chevrolet	https://www.mankatomotors.com/used/Chevrolet/2019-Chevrolet-Tahoe-3f6f7f6cac183b953cbae2d12861200f.htm	22000 USD	2019 Pepperdust Metallic Chevrolet Tahoe LT 5.3L V-8 For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatochevrolet/1626/9f41538c735f68c24cead3d89361b0aex.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1GNSKBKC3KR366997	https://www.mankatomotors.com/used/Chevrolet/2019-Chevrolet-Tahoe-3f6f7f6cac183b953cbae2d12861200f.htm?store={store_code}	NA	139440 miles	Tahoe	1GNSKBKC3KR366997	2019	22000 USD	MM100	22000 USD	MI	no	Used
1GCUYGET1NZ232759	2022 Chevrolet Silverado 1500 LTD LTZ	Chevrolet	https://www.mankatomotors.com/used/Chevrolet/2022-Chevrolet-Silverado-1500-LTD-5d16f8c7ac180e144107ff7b07813cb4.htm	29000 USD	2022 Iridescent Pearl Tricoat Chevrolet Silverado 1500 LTD LTZ 3L i-6 For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatochevrolet/0260/d049b1340307c9cce3469f7f74be346ax.jpg	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1GCUYGET1NZ232759	https://www.mankatomotors.com/used/Chevrolet/2022-Chevrolet-Silverado-1500-LTD-5d16f8c7ac180e144107ff7b07813cb4.htm?store={store_code}	NA	125151 miles	Silverado 1500 LTD	1GCUYGET1NZ232759	2022	29000 USD	MM100	29000 USD	MI	no	Used
1FTFW1ET3CFB43172	2012 Ford F-150 XLT	Ford	https://www.mankatomotors.com/used/Ford/2012-Ford-F-150-bf2f596cac185bc6fc1af9b56aa7600f.htm	12339 USD	2012 Pale Adobe Metallic Ford F-150 XLT 3.5L V-6 For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatonissan/1619/8cd2f42d1026db7674c548788f1af265x.jpg	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW1ET3CFB43172	https://www.mankatomotors.com/used/Ford/2012-Ford-F-150-bf2f596cac185bc6fc1af9b56aa7600f.htm?store={store_code}	NA	132652 miles	F-150	1FTFW1ET3CFB43172	2012	12339 USD	MM100	12339 USD	MI	no	Used
KMHLS4AGXPU452496	2023 Hyundai Elantra SEL	Hyundai	https://www.mankatomotors.com/used/Hyundai/2023-Hyundai-Elantra-d3104de8ac1811ad7a6dbabb1e62bf68.htm	20839 USD	2023 Fluid Metal Hyundai Elantra SEL 2L i-4 For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatochevrolet/1576/7952a2c1110c1dbed532a1a90e2d8e83x.jpg	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	KMHLS4AGXPU452496	https://www.mankatomotors.com/used/Hyundai/2023-Hyundai-Elantra-d3104de8ac1811ad7a6dbabb1e62bf68.htm?store={store_code}	NA	34400 miles	Elantra	KMHLS4AGXPU452496	2023	20839 USD	MM100	20839 USD	MI	no	Used
